nutzungsart;vermarktungsart;objektart;neubau;plz;ort;strasse;wohnflaeche;grundstuecksflaeche;anzahl_zimmer;anzahl_schlafzimmer;anzahl_badezimmer;Ursprünglicher Angebotspreis;Angebotspreis;Realer Kaufpreis;baujahr;zustand;etagen_zahl;balkon;terrasse;unterkellert;energieausweisbaujahr;auftragvon;auftragbis;auftragsart;verkauft_am
wohnen;kauf;haus;0;97225;Zellingen;;170.0;0;6.0;0;0;0;269000.0;;2020;Projektiert;0;0;0;NEIN;2020;;;;
wohnen;kauf;haus;0;97225;Zellingen;;135.0;634.0;5.0;0;0;0;471000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97947;Grünsfeld;;122.0;731.0;4.0;0;0;0;311470.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97222;Rimpar;;158.12;613.0;5.0;0;0;0;310000.0;;1975;;0;1;1;NEIN;1975;;;;
wohnen;kauf;haus;0;97947;Grünsfeld;;140.0;793.0;5.0;3;1;0;312500.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97222;Rimpar;;115.0;665.0;6.0;0;0;0;320000.0;;1952;;0;0;0;NEIN;1952;;;;
wohnen;kauf;haus;0;97359;Schwarzach;;144.0;600.0;4.0;0;0;0;330899.0;;;Erstbezug;2;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97947;Grünsfeld;;223.0;415.0;11.0;0;0;0;385000.0;;1982;;0;0;0;NEIN;1982;;;;
wohnen;kauf;haus;0;97222;Rimpar;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97262;Hausen;;137.0;420.0;4.0;0;0;0;319699.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97239;Aub;;0;877.0;0;0;0;0;137200.0;;1914;;0;0;0;JA;1914;;;;
wohnen;kauf;haus;0;97239;Aub;;0;877.0;0;0;0;0;137200.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97239;Aub;;0;877.0;0;0;0;0;137200.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97258;Hemmersheim;;142.0;700.0;5.0;4;1;0;275000.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97241;Bergtheim;;135.0;430.0;4.0;0;0;0;310000.0;;;Erstbezug;2;0;0;NEIN;;;;;
